	muse_id	musname	town	url	url_source
0	mm.domus.SE118	100th Bomb Group Memorial Museum	Diss	https://www.100bgmus.org.uk/	pred
1	mm.domus.SE499	1066 Battle Of Hastings, Battle Abbey And Battlefield	Battle	https://www.english-heritage.org.uk/visit/places/1066-battle-of-hastings-abbey-and-battlefield/	pred
2	mm.domus.EM073	1620s House And Garden	Coalville	https://www.doningtonleheath.org.uk/	pred
3	mm.domus.SE329	18 Stafford Terrace	London	https://www.rbkc.gov.uk/subsites/museums/18staffordterrace.aspx	pred
4	mm.musa.002	19 Princelet Street	London	https://www.19princeletstreet.org.uk/	pred
5	mm.MDN.025	1940s Swansea Bay Museum	Swansea	https://www.visitswanseabay.com/listings/1940s-swansea-bay-museum/	pred
6	mm.domus.SE524	2 Willow Road	London	https://www.nationaltrust.org.uk/2-willow-road	pred
7	mm.New.92	201 Squadron Museum	St Peter Port	http://www.museums.gov.gg/squadron201	pred
8	mm.misc.217	251 Menlove Avenue	Liverpool	http://traquo.com/251-menlove-avenue-liverpool/	pred
9	mm.wiki.007	306th Bombardment Group Museum	Bedford	http://www.306bg.co.uk/	manual
10	mm.wiki.280	389th Bomb Group Memorial Exhibition	Norwich	https://www.visitnorfolk.co.uk/Wymondham-389th-Bomb-Group-Memorial-Exhibition/details/?dms=3&venue=0510257	pred
11	mm.wiki.504	390th Bombardment Group Memorial Air Museum	Framlingham	https://390th.org/	pred
12	mm.New.34	575 Wandsworth Road	London	https://www.nationaltrust.org.uk/575-wandsworth-road	pred
13	mm.wiki.475	602 Squadron Museum	Glasgow	https://602squadronmuseum.org.uk/	pred
14	mm.wiki.295	78 Derngate	Northampton	https://www.78derngate.org.uk/	pred
15	mm.domus.EM048	9th/12th Royal Lancers Museum	Derby	https://9th12thlancersmuseum.org/	manual
16	mm.domus.SW230	A La Ronde	Exmouth	https://www.nationaltrust.org.uk/a-la-ronde	pred
17	mm.wiki.059	A World In Miniature Museum	Carlisle	https://www.discovercarlisle.co.uk/See-Do/a-world-in-miniature-museum	pred
18	mm.domus.YH005	Abbey House Museum	Leeds	https://museumsandgalleries.leeds.gov.uk/abbey-house-museum/	manual
19	mm.domus.EM066	Abbey Pumping Station Museum	Leicester	http://www.abbeypumpingstation.org/	pred
20	mm.domus.YH023	Abbeydale Industrial Hamlet	Sheffield	http://www.simt.co.uk/abbeydale-industrial-hamlet	manual
21	mm.domus.NW025	Abbot Hall Art Gallery	Kendal	https://lakelandarts.org.uk/abbot-hall/	pred
22	mm.hha.153	Abbotsford	Melrose	https://www.scottsabbotsford.com/	pred
23	mm.mald.001	Aber Valley Heritage Museum	Senghenydd	https://www.visitcaerphilly.com/aber-valley-heritage-museum/	pred
24	mm.domus.WA094	Aberconwy House	Conwy	https://www.nationaltrust.org.uk/aberconwy-house	pred
25	mm.domus.SC002	Aberdeen Art Gallery	Aberdeen	http://www.aagm.co.uk/	pred
26	mm.domus.SC003	Aberdeen Maritime Museum	Aberdeen	https://www.aberdeencity.gov.uk/AAGM/plan-your-visit/aberdeen-maritime-museum	pred
27	mm.domus.SC187	Aberdeen Science Centre	Aberdeen	https://aberdeensciencecentre.org/	manual
28	mm.domus.SC173	Aberdeenshire Farming Museum	Peterhead	https://www.livelifeaberdeenshire.org.uk/museums/find-a-museum/aberdeenshire-farming-museum/	pred
29	mm.aim.0005	Abergavenny Museum	Abergavenny	http://www.abergavennymuseum.co.uk/	pred
30	mm.aim.0006	Abertillery And District Museum	Abertillery	http://www.abertilleryanddistrictmuseum.org.uk/	pred
31	mm.domus.WA066	Aberystwyth Ceramics Gallery	Aberystwyth	https://ceramics-aberystwyth.com/	pred
32	mm.domus.SE170	Abingdon Museum	Abingdon	https://www.abingdon.gov.uk/partners/abingdon-county-hall-museum	manual
33	mm.domus.EM001	Abington Museum	Northampton	https://www.northamptonshiresurprise.com/organisation/abington-park-museum/	pred
34	mm.hha.051	Acton Court	Bristol	https://www.actoncourt.com/	pred
35	mm.domus.WM034	Acton Scott Working Farm Museum	Church Stretton	https://www.actonscott.com/	manual
36	mm.domus.SE434	Adjutant General's Corps Museum	Winchester	https://www.rhqagc.com/museum.html	pred
37	mm.hha.130	Adlington Hall	Macclesfield	https://www.adlingtonhall.com/	pred
38	mm.misc.234	Aerospace Bristol	Bristol	https://aerospacebristol.org/	pred
39	mm.domus.SE413	Agricultural Museum, Brook	Ashford	https://www.agriculturalmuseumbrook.org.uk/	pred
40	mm.misc.195	Ainsworth And Sons Ltd Museum	Blackburn	https://www2.humboldt.edu/scimus/BalanceExhibit/Ains_Cat_A10_1940/AinsCat_40.htm	pred
41	mm.domus.SE171	Airborne Assault Museum	Duxford	https://www.paradata.org.uk/article/airborne-assault-museum-iwm-duxford	pred
42	mm.domus.YH154	Aldborough Roman Town	Boroughbridge	https://www.english-heritage.org.uk/visit/places/aldborough-roman-site/	pred
43	mm.wiki.392	Aldbourne Heritage Centre	Marlborough	http://aldbourneheritage.org.uk/	pred
44	mm.domus.SE172	Aldeburgh Museum	Aldeburgh	https://www.aldeburghmuseum.org.uk/	pred
45	mm.domus.SE176	Alderney Museum	Alderney	http://www.alderneysociety.org/museum.php	pred
46	mm.domus.SE169	Aldershot Military Museum	Aldershot	https://www.hampshireculture.org.uk/aldershot-military-museum	pred
47	mm.aim.0037	Aldridge Transport Museum	Walsall	http://www.amrtm.org/	manual
48	mm.musa.006	Alexander Fleming Laboratory Museum	London	https://www.imperial.nhs.uk/about-us/who-we-are/fleming-museum	pred
49	mm.domus.SW193	Alexander Keiller Museum	nr Marlborough	https://www.english-heritage.org.uk/visit/places/alexander-keiller-museum-avebury/	manual
50	mm.wiki.456	Alford Heritage Museum	Alford	https://alfordheritagemuseum.com/	manual
51	mm.domus.EM003	Alford Manor House Museum	Alford	https://www.alfordmanorhouse.co.uk/	pred
52	mm.misc.112	Alford Railway Museum	Alford	https://www.undiscoveredscotland.co.uk/alford/railwaymuseum/index.html	pred
53	mm.fcm.001	Alfred Corry Lifeboat Museum	Southwold	https://alfredcorry.co.uk/	pred
54	mm.domus.EM059	Alfred East Art Gallery	Kettering	https://www.kettering.gov.uk/gallery	manual
55	mm.hud.005	Alfriston Clergy House	Alfriston	https://www.nationaltrust.org.uk/alfriston-clergy-house	pred
56	mm.aim.0014	All Hallows By The Tower (Undercroft Museum)	London	https://www.ahbtt.org.uk/visit/crypt/	pred
